Tag , Ticket Count
Api, 116 
Azure, 15 
Background Job, 17
Bugs, 25  
Build / DevOps, 7 
Change Request, 12  
Clerk Console, 25  
Controller, 10  
Dashboard, 9  
Data Stack, 42  
Design, 8  
Documentation, 1
Draft, 1 
Duplicate, 8  
Epic, 17  
ExO Checkout, 17  
ExO Station, 8  
Feature, 3  
Help Wanted , 1
Integration, 16  
Legends/NFL Store, 1
Management Console, 56  
Performance / Scalability , 61  
Question, 2 
Research, 7
Retail Cloud, 1
Security, 15
Service Bus / Logic App, 1
Service, 1
SignalR, 3
Square, 1
Station Display, 9
Support, 1
Task, 5
Testing, 5
Triage, 6
